Id,SalePrice
1461,141044.66
1462,169097.58
1463,179177.4
1464,202018.23
1465,201257.34
1466,196284.5
1467,197777.78
1468,185092.72
1469,211125.38
1470,137835.72
1471,214147.86
1472,92592.02
1473,89099.836
1474,151431.53
1475,134712.58
1476,268982.5
1477,210540.81
1478,237449.97
1479,295373.03
1480,326959.6
1481,287913.84
1482,223013.8
1483,190188.77
1484,185637.88
1485,171538.97
1486,207765.27
1487,297730.03
1488,265809.5
1489,194342.88
1490,207525.38
1491,201638.28
1492,120398.15
1493,209263.8
1494,287915.25
1495,296111.0
1496,210892.5
1497,179895.56
1498,161531.83
1499,159287.3
1500,158674.81
1501,170317.66
1502,154959.22
1503,292304.94
1504,240454.98
1505,237519.27
1506,222969.64
1507,237495.81
1508,232534.08
1509,192992.3
1510,177776.8
1511,161208.75
1512,164749.33
1513,183910.34
1514,215641.89
1515,228308.2
1516,192867.86
1517,172877.14
1518,158570.52
1519,231454.83
1520,148233.11
1521,160279.84
1522,189026.31
1523,109333.74
1524,145750.53
1525,158637.39
1526,144730.9
1527,111075.85
1528,146037.97
1529,165072.58
1530,200814.72
1531,123990.38
1532,117131.33
1533,169213.19
1534,121759.6
1535,180754.4
1536,127492.95
1537,58648.453
1538,188099.78
1539,195850.58
1540,134209.4
1541,170186.8
1542,156115.81
1543,227893.38
1544,90833.4
1545,122306.516
1546,140723.02
1547,165051.14
1548,150467.45
1549,109970.87
1550,155743.42
1551,139528.45
1552,136153.19
1553,135553.84
1554,110151.71
1555,191786.62
1556,89333.445
1557,132254.27
1558,100574.586
1559,117721.75
1560,159843.89
1561,170352.47
1562,148813.89
1563,136104.22
1564,176746.86
1565,161600.03
1566,240684.94
1567,100561.89
1568,214064.97
1569,139688.94
1570,145157.81
1571,136613.39
1572,161855.05
1573,227563.45
1574,132107.62
1575,227610.34
1576,238407.84
1577,196521.02
1578,151749.69
1579,162991.78
1580,212161.83
1581,169029.2
1582,165768.47
1583,297209.84
1584,248583.72
1585,146011.84
1586,83248.32
1587,116845.17
1588,180415.98
1589,121968.0
1590,169068.05
1591,124576.42
1592,147469.81
1593,136544.52
1594,240167.97
1595,124611.56
1596,268412.16
1597,196440.4
1598,190094.9
1599,209381.9
1600,201410.34
1601,82686.6
1602,124124.836
1603,114144.93
1604,267678.72
1605,251830.17
1606,201064.06
1607,191966.56
1608,203464.64
1609,189855.38
1610,141836.89
1611,163751.9
1612,162699.39
1613,170635.95
1614,128663.69
1615,82628.93
1616,77111.98
1617,86457.76
1618,150651.38
1619,152076.83
1620,169164.8
1621,138910.22
1622,160649.9
1623,324283.0
1624,235480.89
1625,144167.5
1626,200211.06
1627,204638.08
1628,284875.3
1629,175348.98
1630,279367.28
1631,235089.8
1632,263438.1
1633,162580.56
1634,194078.98
1635,205687.17
1636,167696.25
1637,209463.2
1638,232013.47
1639,201577.05
1640,273885.9
1641,222080.23
1642,242008.38
1643,247397.06
1644,246609.38
1645,230188.62
1646,190326.6
1647,187034.67
1648,153617.66
1649,165630.84
1650,144478.48
1651,149779.44
1652,92333.19
1653,97893.97
1654,156755.78
1655,164909.45
1656,157900.38
1657,160558.94
1658,150568.52
